issuer,ticker,yf_ticker,isin,asset_class,exchange,exchange_code,country,url
Kraig Biocraft Laboratories,KBLB,KBLB,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/KBLB:NASDAQ
PepGen,PEPG,PEPG,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/PEPG:NASDAQ
InspireMD,NSPR,NSPR,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/NSPR:NASDAQ
Novozymes,NZYM-B.CO,NZYM-B.CO,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/NZYM-B.CO:NASDAQ
Mydecine Innovations Group,MYCO.CN,MYCO.CN,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/MYCO.CN:NASDAQ
Nanobiotix,NANO.PA,NANO.PA,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/NANO.PA:NASDAQ
Certara,CERT,CERT,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/CERT:NASDAQ
Akoya Biosciences,AKYA,AKYA,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/AKYA:NASDAQ
Alers,ALERS.PA,ALERS.PA,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/ALERS.PA:NASDAQ
Valneva,VALN,VALN,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/VALN:NASDAQ
MoonLake Immunotherapeutics,MLTX,MLTX,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/MLTX:NASDAQ
Renovacor,RENB,RENB,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/RENB:NASDAQ
Revive Therapeutics,RVVTF,RVVTF,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/RVVTF:NASDAQ
Yield10 Bioscience,YTEN,YTEN,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/YTEN:NASDAQ
Rezolute,RZLT,RZLT,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/RZLT:NASDAQ
Elicio Therapeutics,ELTX,ELTX,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/ELTX:NASDAQ
NKGen Biotech,NKGN,NKGN,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/NKGN:NASDAQ
Faron Pharmaceuticals,FARON.HE,FARON.HE,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/FARON.HE:NASDAQ
C4 Therapeutics,CCCC,CCCC,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/CCCC:NASDAQ
BioCardia,BCDA,BCDA,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/BCDA:NASDAQ
MediciNova,MNOV,MNOV,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/MNOV:NASDAQ
Oxurion,OXUR.BR,OXUR.BR,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/OXUR.BR:NASDAQ
Capricor Therapeutics,CAPR,CAPR,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/CAPR:NASDAQ
Ovid Therapeutics,OVID,OVID,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/OVID:NASDAQ
Taysha Gene Therapies,TSHA,TSHA,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/TSHA:NASDAQ
BioXcel Therapeutics,BTAI,BTAI,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/BTAI:NASDAQ
Akero Therapeutics,AKRO,AKRO,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/AKRO:NASDAQ
Ocugen,OCGN,OCGN,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/OCGN:NASDAQ
Centogene,CNTG,CNTG,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/CNTG:NASDAQ
Oculis,OCS,OCS,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/OCS:NASDAQ
Annexon Biosciences,ANNX,ANNX,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/ANNX:NASDAQ
Mydecine Innovations Group,MYCOF,MYCOF,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/MYCOF:NASDAQ
Harpoon Therapeutics,HARP,HARP,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/HARP:NASDAQ
MDxHealth,MDXH,MDXH,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/MDXH:NASDAQ
Vaxart,VXRT,VXRT,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/VXRT:NASDAQ
Immix Biopharma,IMMX,IMMX,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/IMMX:NASDAQ
G1 Therapeutics,GTHX,GTHX,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/GTHX:NASDAQ
INmune Bio,INMB,INMB,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/INMB:NASDAQ
Humacyte,HUMA,HUMA,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/HUMA:NASDAQ
PharmaNutra,PHIL.MI,PHIL.MI,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/PHIL.MI:NASDAQ
Iovance Biotherapeutics,IOVA,IOVA,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/IOVA:NASDAQ
CRISPR Therapeutics,CRSP,CRSP,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/CRSP:NASDAQ
Theriva Biologics,TOVX,TOVX,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/TOVX:NASDAQ
Editas Medicine,EDIT,EDIT,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/EDIT:NASDAQ
Rain Therapeutics,RAIN,RAIN,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/RAIN:NASDAQ
ContraFect,CFRX,CFRX,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/CFRX:NASDAQ
Vaxcyte,PCVX,PCVX,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/PCVX:NASDAQ
TransCode Therapeutics,RNAZ,RNAZ,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/RNAZ:NASDAQ
Inotiv,NOTV,NOTV,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/NOTV:NASDAQ
